EMYDLTD,AIOYNPD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Mysticism +15$Spirit Speak +15$Antique$Intelligence Bonus 8$Stamina Increase 5$Mana Regeneration 4$Hit Chance Increase 15%$Defense Chance Increase 20%$Spell Damage Increase 15%$Faster Casting 1$Lower Mana Cost 8%$Durability 255 / 255$Legendary Artifact$, 
GHXKEND,AIOYNPD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Focus +15$Antique$Strength Bonus 8$Stamina Increase 4$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 18%$Faster Casting 1$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$, 
GUVKEND,AIOYNPD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Throwing +15$Stealth +20$Mace Fighting +15$Antique$Mana Increase 4$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 18%$Faster Casting 1$Durability 255 / 255$Legendary Artifact$, 
MUIBFTD,AIOYNPD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Antique$Strength Bonus 8$Dexterity Bonus 8$Intelligence Bonus 8$Stamina Increase 5$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 18%$Faster Casting 1$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$, 
PPWYTOD,AIOYNPD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Spirit Speak +20$Swordsmanship +15$Antique$Strength Bonus 8$Intelligence Bonus 8$Hit Chance Increase 15%$Defense Chance Increase 20%$Spell Damage Increase 15%$Faster Casting 1$Durability 255 / 255$Legendary Artifact$, 
VOCLQTD,AIOYNPD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Stealing +15$Mace Fighting +20$Antique$Strength Bonus 8$Stamina Increase 4$Mana Increase 4$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 15%$Faster Casting 1$Lower Mana Cost 8%$Lower Reagent Cost 25%$Cold Resist 15%$Durability 255 / 255$Legendary Artifact$, 
BCEIUOD,AXWNIRD,Invigorating Leather Gorget,Gorget,"Invigorating Leather Gorget$Crafted By Minerman$Exceptional$(Imbued)$Insured$Weight: 1 Stone$Damage Eater 15%$Hit Point Increase 5$Stamina Increase 8$Mana Regeneration 2$Lower Mana Cost 8%$Physical Resist 8%$Fire Resist 13%$Cold Resist 7%$Poison Resist 10%$Energy Resist 12%$Strength Requirement 20$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Reforged (Minor)$", 
EEVKEND,AXWNIRD,Arcane Close Helmet Of Vitality,Helm,"Arcane Close Helmet Of Vitality$Insured$Weight: 5 Stones$Brittle$Damage Eater 12%$Hit Point Increase 5$Mana Increase 2$Hit Point Regeneration 3$Mana Regeneration 3$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 18%$Fire Resist 18%$Cold Resist 18%$Poison Resist 18%$Energy Resist 18%$Mage Armor$Strength Requirement 55$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Legendary Artifact$", 
GRSOWSD,AXWNIRD,Mystic Studded Gorget Of Vitality,Gorget,"Mystic Studded Gorget Of Vitality$Insured$Weight: 1 Stone$Brittle$Kinetic Eater 12%$Intelligence Bonus 5$Hit Point Increase 7$Mana Increase 2$Hit Point Regeneration 2$Mana Regeneration 1$Lower Mana Cost 10%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 19%$Mage Armor$Strength Requirement 25$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Legendary Artifact$", 
JSJYIUD,AXWNIRD,Leather Sleeves Of Restoration,Arms,"Leather Sleeves Of Restoration$Exceptional$(Imbued)$Weight: 2 Stones$Damage Eater 15%$Stamina Increase 8$Hit Point Regeneration 3$Hit Chance Increase 4%$Lower Mana Cost 8%$Physical Resist 6%$Fire Resist 7%$Cold Resist 4%$Poison Resist 8%$Energy Resist 10%$Strength Requirement 20$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Reforged (Lesser)$", 
