BZTLSOD,PHIZJOD,Arcane Bone Arms Of Haste,Arms,Arcane Bone Arms Of Haste$Insured$Weight: 2 Stones$Brittle$Dexterity Bonus 4$Intelligence Bonus 4$Stamina Increase 10$Mana Regeneration 2$Lower Reagent Cost 25%$Physical Resist 18%$Fire Resist 18%$Cold Resist 19%$Poison Resist 17%$Energy Resist 19%$Mage Armor$Strength Requirement 55$Durability 255 / 255$Legendary Artifact$
JOJHSOD,ODIZJOD,Exquisite Pickaxe Of Wizardry,One-Handed,Exquisite Pickaxe Of Wizardry$Insured$Uses Remaining: 50$Weight: 11 Stones$Brittle$Spell Channeling$Mage Weapon -15 Skill$Ophidian Slayer$Mana Increase 4$Mana Regeneration 6$Lower Requirements 100%$Physical Damage 30%$Fire Damage 70%$Weapon Damage 12 - 16$Weapon Speed 3s$One-Handed Weapon$Skill Required: Swordsmanship$Durability 255 / 255$Legendary Artifact$
PTWFSOD,PBIZJOD,Mystic Platemail Tunic Of Haste,Chest,Mystic Platemail Tunic Of Haste$Insured$Weight: 10 Stones$Brittle$Dexterity Bonus 5$Intelligence Bonus 1$Stamina Increase 8$Mana Increase 4$Stamina Regeneration 1$Mana Regeneration 4$Lower Mana Cost 8%$Physical Resist 20%$Fire Resist 18%$Cold Resist 17%$Poison Resist 18%$Energy Resist 17%$Mage Armor$Strength Requirement 95$Durability 255 / 255$Legendary Artifact$
IBERROD,PBIZJOD,Mystic Studded Sleeves Of Haste,Arms,Mystic Studded Sleeves Of Haste$Insured$Weight: 4 Stones$Brittle$Dexterity Bonus 4$Intelligence Bonus 2$Stamina Increase 8$Mana Increase 8$Stamina Regeneration 4$Mana Regeneration 3$Lower Mana Cost 10%$Physical Resist 17%$Fire Resist 19%$Cold Resist 3%$Poison Resist 18%$Energy Resist 19%$Mage Armor$Strength Requirement 25$Durability 255 / 255$Legendary Artifact$
NPDMROD,MDIZJOD,Arcane Studded Tunic Of Vitality,Chest,Arcane Studded Tunic Of Vitality$Insured$Weight: 8 Stones$Brittle$Strength Bonus 1$Intelligence Bonus 2$Hit Point Increase 7$Mana Increase 8$Hit Point Regeneration 4$Mana Regeneration 1$Lower Mana Cost 10%$Lower Reagent Cost 20%$Physical Resist 17%$Fire Resist 4%$Cold Resist 18%$Poison Resist 18%$Energy Resist 19%$Mage Armor$Strength Requirement 35$Durability 255 / 255$Legendary Artifact$
HISJROD,KDIZJOD,Arcane Studded Gorget Of Sorcery,Gorget,Arcane Studded Gorget Of Sorcery$Insured$Weight: 1 Stone$Brittle$Intelligence Bonus 5$Mana Increase 10$Mana Regeneration 4$Lower Mana Cost 10%$Lower Reagent Cost 20%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 3%$Energy Resist 19%$Mage Armor$Strength Requirement 25$Durability 255 / 255$Legendary Artifact$
MYCJROD,ODIZJOD,Arcane Bow Of Quality,Two-Handed,Arcane Bow Of Quality$Insured$Weight: 6 Stones$Brittle$Hit Mana Leech 50%$Velocity 40%$Spell Channeling$Mage Weapon -15 Skill$Balanced$Mana Regeneration 6$Physical Damage 30%$Chaos Damage 70%$Weapon Damage 17 - 21$Weapon Speed 4.25s$Range 10$Strength Requirement 30$Two-Handed Weapon$Skill Required: Archery$Durability 255 / 255$Legendary Artifact$
FVPGROD,MDIZJOD,Arcane Bone Leggings Of Vitality,Legs,Arcane Bone Leggings Of Vitality$Insured$Weight: 3 Stones$Brittle$Strength Bonus 4$Intelligence Bonus 2$Hit Point Increase 5$Hit Point Regeneration 3$Mana Regeneration 1$Lower Mana Cost 8%$Lower Reagent Cost 25%$Physical Resist 18%$Fire Resist 18%$Cold Resist 19%$Poison Resist 17%$Energy Resist 19%$Mage Armor$Strength Requirement 55$Durability 255 / 255$Legendary Artifact$
PEMBROD,KDIZJOD,Arcane Bone Leggings Of Sorcery,Legs,Arcane Bone Leggings Of Sorcery$Insured$Weight: 3 Stones$Brittle$Intelligence Bonus 4$Mana Increase 10$Mana Regeneration 4$Lower Mana Cost 10%$Lower Reagent Cost 25%$Physical Resist 18%$Fire Resist 18%$Cold Resist 19%$Poison Resist 17%$Energy Resist 19%$Mage Armor$Strength Requirement 55$Durability 255 / 255$Legendary Artifact$
OUFBROD,ZAIZJOD,Mystic Studded Gorget Of Wizardry,Gorget,"Mystic Studded Gorget Of Wizardry$Insured$Weight: 1 Stone$Brittle$Casting Focus 3%$Intelligence Bonus 5$Mana Increase 10$Mana Regeneration 4$Lower Mana Cost 10%$Lower Reagent Cost 20%$Physical Resist 2%$Fire Resist 4%$Cold Resist 3%$Poison Resist 3%$Energy Resist 4%$Mage Armor$Strength Requirement 25$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Major Artifact$"
