YBRUAUD,VPPUAUD,Arcane Dagger Of Restoration,One-Handed,Arcane Dagger Of Restoration$Insured$Weight: 1 Stone$Brittle$Hit Mana Leech 10%$Spell Channeling$Mage Weapon -20 Skill$Intelligence Bonus 4$Mana Increase 5$Hit Point Regeneration 6$Stamina Regeneration 6$Mana Regeneration 9$Lower Mana Cost 3%$Physical Damage 100%$Weapon Damage 10 - 12$Weapon Speed 2s$Strength Requirement 10$One-Handed Weapon$Skill Required: Fencing$Durability 255 / 255$Legendary Artifact$, 
UARUAUD,CQPUAUD,Order Shield,Shield,Order Shield$Insured$Weight: 7 Stones$Brittle$Spell Channeling$Intelligence Bonus 4$Stamina Increase 4$Mana Regeneration 3$Reflect Physical Damage 15%$Hit Chance Increase 5%$Defense Chance Increase 20%$Damage Increase 25%$Physical Resist 1%$Strength Requirement 95$Durability 255 / 255$Legendary Artifact$, 
YARUAUD,CQPUAUD,Jester Hat,Helm,Jester Hat$Insured$Weight: 1 Stone$Brittle$Dexterity Bonus 4$Stamina Increase 2$Mana Increase 8$Hit Point Regeneration 3$Stamina Regeneration 3$Mana Regeneration 3$Enhance Potions 1%$Hit Chance Increase 4%$Lower Mana Cost 10%$Lower Reagent Cost 5%$Physical Resist 15%$Fire Resist 25%$Cold Resist 29%$Poison Resist 25%$Energy Resist 20%$Strength Requirement 10$Durability 255 / 255$Legendary Artifact$, 
CUQUAUD,VPPUAUD,Scimitar,One-Handed,"Scimitar$Insured$Weight: 5 Stones$Splintering Weapon 20%$Hit Fireball 50%$Battle Lust$Mana Regeneration 3$Luck 80$Physical Damage 100%$Weapon Damage 12 - 16$Weapon Speed 3s$Strength Requirement 25$One-Handed Weapon$Skill Required: Swordsmanship$Durability 52 / 52$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$", 
FARUAUD,CQPUAUD,Order Shield,Shield,Order Shield$Insured$Weight: 7 Stones$Brittle$Spell Channeling$Dexterity Bonus 4$Hit Point Increase 5$Mana Increase 5$Hit Point Regeneration 3$Mana Regeneration 3$Lower Mana Cost 4%$Damage Increase 35%$Physical Resist 1%$Lower Requirements 70%$Strength Requirement 28$Durability 255 / 255$Legendary Artifact$, 
TWQUAUD,VPPUAUD,Arcane Hammer Pick Of Restoration,One-Handed,Arcane Hammer Pick Of Restoration$Insured$Weight: 9 Stones$Brittle$Hit Mana Leech 32%$Spell Channeling$Mage Weapon -20 Skill$Intelligence Bonus 4$Hit Point Regeneration 6$Stamina Regeneration 3$Mana Regeneration 9$Lower Mana Cost 5%$Physical Damage 100%$Weapon Damage 13 - 17$Weapon Speed 3.25s$Strength Requirement 45$One-Handed Weapon$Skill Required: Mace Fighting$Durability 255 / 255$Legendary Artifact$, 
HXQUAUD,CQPUAUD,Leather Gloves,Gloves,Leather Gloves$Insured$Weight: 1 Stone$Brittle$Strength Bonus 4$Mana Increase 8$Stamina Regeneration 1$Mana Regeneration 4$Reflect Physical Damage 5%$Enhance Potions 2%$Hit Chance Increase 5%$Defense Chance Increase 3%$Lower Mana Cost 8%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 23%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$, 
WVQUAUD,CQPUAUD,Studded Gloves,Gloves,Studded Gloves$Insured$Weight: 1 Stone$Brittle$Intelligence Bonus 4$Hit Point Increase 5$Stamina Increase 8$Mana Increase 8$Hit Point Regeneration 1$Stamina Regeneration 3$Luck 100$Enhance Potions 1%$Lower Mana Cost 10%$Lower Reagent Cost 5%$Physical Resist 22%$Fire Resist 24%$Cold Resist 23%$Poison Resist 18%$Energy Resist 24%$Lower Requirements 40%$Strength Requirement 15$Durability 255 / 255$Legendary Artifact$, 
JPQUAUD,CQPUAUD,Platemail Gorget,Gorget,Platemail Gorget$Insured$Weight: 2 Stones$Brittle$Dexterity Bonus 4$Mana Increase 10$Mana Regeneration 3$Hit Chance Increase 4%$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 20%$Fire Resist 3%$Cold Resist 2%$Poison Resist 18%$Energy Resist 2%$Lower Requirements 70%$Strength Requirement 13$Durability 255 / 255$Major Artifact$, 
ZOQUAUD,CQPUAUD,Leather Leggings,Legs,Leather Leggings$Insured$Weight: 4 Stones$Brittle$Strength Bonus 4$Hit Point Regeneration 1$Stamina Regeneration 1$Reflect Physical Damage 5%$Enhance Potions 1%$Hit Chance Increase 5%$Defense Chance Increase 4%$Lower Mana Cost 10%$Lower Reagent Cost 20%$Physical Resist 22%$Fire Resist 24%$Cold Resist 18%$Poison Resist 18%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$, 
TVQUAUD,CQPUAUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Stamina Increase 4$Enhance Potions 10%$Hit Chance Increase 5%$Defense Chance Increase 20%$Damage Increase 15%$Durability 255 / 255$Greater Magic Item$, 
