JHBTTUD,WXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Discordance +15$Antique$Stamina Increase 5$Mana Increase 4$Mana Regeneration 4$Night Sight$Luck 100$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Casting 1$Lower Reagent Cost 20%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
KHBTTUD,YXATTUD,Studded Gorget,Gorget,Studded Gorget$Insured$Weight: 1 Stone$Prized$Hit Point Increase 5$Stamina Increase 10$Enhance Potions 1%$Hit Chance Increase 1%$Defense Chance Increase 1%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 19%$Strength Requirement 25$Durability 36 / 36$Greater Artifact$ 
BCBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Animal Lore +20$Antique$Mana Regeneration 4$Luck 100$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Casting 1$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
CCBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Parrying +15$Antique$Dexterity Bonus 8$Stamina Increase 4$Mana Increase 4$Mana Regeneration 3$Luck 150$Enhance Potions 25%$Faster Casting 1$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
ZBBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Healing +15$Provocation +15$Magery +15$Antique$Mana Regeneration 3$Faster Cast Recovery 3$Faster Casting 1$Lower Mana Cost 8%$Lower Reagent Cost 20%$Damage Increase 35%$Durability 255 / 255$Legendary Artifact$ 
ACBTTUD,WXATTUD,Leather Shorts,Legs,Leather Shorts$Insured$Weight: 3 Stones$Brittle$Strength Bonus 2$Dexterity Bonus 4$Intelligence Bonus 4$Hit Point Increase 5$Hit Point Regeneration 1$Mana Regeneration 1$Hit Chance Increase 1%$Defense Chance Increase 4%$Lower Mana Cost 10%$Physical Resist 17%$Fire Resist 19%$Cold Resist 23%$Poison Resist 23%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$ 
FCBTTUD,WXATTUD,Bandana,Helm,Bandana$Insured$Weight: 1 Stone$Brittle$Strength Bonus 4$Intelligence Bonus 5$Hit Point Increase 5$Mana Increase 8$Hit Point Regeneration 3$Stamina Regeneration 4$Luck 100$Defense Chance Increase 5%$Fire Resist 3%$Cold Resist 5%$Poison Resist 8%$Energy Resist 23%$Strength Requirement 10$Durability 255 / 255$Legendary Artifact$ 
GCBTTUD,YXATTUD,Platemail Gorget Of Haste,Gorget,Platemail Gorget Of Haste$Insured$Weight: 2 Stones$Brittle$Dexterity Bonus 5$Hit Point Increase 5$Stamina Increase 10$Stamina Regeneration 1$Mana Regeneration 1$Lower Reagent Cost 5%$Physical Resist 20%$Fire Resist 18%$Cold Resist 17%$Poison Resist 18%$Energy Resist 17%$Mage Armor$Strength Requirement 45$Durability 255 / 255$Major Artifact$ 
DCBTTUD,WXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Stealing +5$Focus +20$Mace Fighting +20$Antique$Hit Chance Increase 15%$Defense Chance Increase 15%$Swing Speed Increase 10%$Damage Increase 25%$Fire Resist 15%$Durability 255 / 255$Legendary Artifact$ 
ECBTTUD,WXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Stealth +15$Antique$Mana Increase 4$Enhance Potions 25%$Hit Chance Increase 20%$Spell Damage Increase 15%$Lower Mana Cost 8%$Swing Speed Increase 10%$Fire Resist 15%$Durability 255 / 255$Legendary Artifact$ 
TBBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Veterinary +15$Focus +15$Wrestling +15$Antique$Mana Increase 4$Enhance Potions 25%$Defense Chance Increase 15%$Swing Speed Increase 10%$Physical Resist 20%$Durability 255 / 255$Legendary Artifact$ 
UBBTTUD,VXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Meditation +15$Musicianship +15$Antique$Mana Increase 5$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 20%$Spell Damage Increase 18%$Lower Mana Cost 8%$Durability 255 / 255$Legendary Artifact$ 
RBBTTUD,WXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Discordance +15$Musicianship +20$Antique$Stamina Increase 4$Mana Increase 4$Enhance Potions 25%$Defense Chance Increase 15%$Spell Damage Increase 15%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
SBBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Stealing +10$Antique$Intelligence Bonus 8$Mana Increase 4$Mana Regeneration 3$Enhance Potions 35%$Hit Chance Increase 20%$Defense Chance Increase 15%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
YBBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Tactics +15$Mace Fighting +15$Antique$Enhance Potions 25%$Defense Chance Increase 15%$Faster Cast Recovery 4$Lower Reagent Cost 20%$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
VBBTTUD,WXATTUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Healing +20$Provocation +15$Antique$Strength Bonus 8$Mana Increase 4$Enhance Potions 25%$Hit Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Durability 255 / 255$Legendary Artifact$ 
WBBTTUD,VXATTUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Mysticism +15$Antique$Dexterity Bonus 10$Stamina Increase 4$Enhance Potions 25%$Faster Cast Recovery 3$Faster Casting 1$Swing Speed Increase 10%$Cold Resist 15%$Durability 255 / 255$Legendary Artifact$ 
