YZGEISD,EKEEISD,Arcane Wizard's Hat Of Vitality,Helm,Arcane Wizard's Hat Of Vitality$Insured$Weight: 1 Stone$Brittle$Damage Eater 12%$Intelligence Bonus 4$Hit Point Increase 7$Mana Increase 4$Hit Point Regeneration 2$Mana Regeneration 1$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 15%$Fire Resist 20%$Cold Resist 24%$Poison Resist 20%$Energy Resist 20%$Strength Requirement 10$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
WZGEISD,EKEEISD,Arcane Platemail Arms Of Restoration,Arms,Arcane Platemail Arms Of Restoration$Insured$Weight: 5 Stones$Brittle$Damage Eater 15%$Casting Focus 3%$Mana Increase 2$Hit Point Regeneration 2$Stamina Regeneration 3$Mana Regeneration 4$Lower Reagent Cost 20%$Physical Resist 20%$Fire Resist 18%$Cold Resist 17%$Poison Resist 18%$Energy Resist 17%$Mage Armor$Strength Requirement 80$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
BAHEISD,EKEEISD,Arcane Dragon Turtle Hide Helm Of Restoration,Helm,Arcane Dragon Turtle Hide Helm Of Restoration$Insured$Weight: 4 Stones$Brittle$Kinetic Eater 12%$Casting Focus 1%$Intelligence Bonus 2$Hit Point Regeneration 3$Stamina Regeneration 3$Mana Regeneration 3$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 19%$Fire Resist 17%$Cold Resist 17%$Poison Resist 19%$Energy Resist 19%$Strength Requirement 30$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$* Requires The "Time Of Legends" Expansion$ 
CAHEISD,EKEEISD,Arcane Bone Helmet Of Restoration,Helm,Arcane Bone Helmet Of Restoration$Insured$Weight: 3 Stones$Brittle$Kinetic Eater 12%$Casting Focus 1%$Intelligence Bonus 3$Mana Increase 8$Hit Point Regeneration 4$Stamina Regeneration 2$Mana Regeneration 4$Lower Reagent Cost 20%$Physical Resist 18%$Fire Resist 18%$Cold Resist 19%$Poison Resist 17%$Energy Resist 19%$Mage Armor$Strength Requirement 20$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
HZGEISD,PKEEISD,Arcane Leather Gorget Of Vitality,Gorget,Arcane Leather Gorget Of Vitality$Insured$Weight: 1 Stone$Brittle$Poison Eater 12%$Casting Focus 2%$Strength Bonus 4$Intelligence Bonus 4$Mana Increase 8$Hit Point Regeneration 4$Mana Regeneration 1$Lower Mana Cost 2%$Lower Reagent Cost 15%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
LZGEISD,PKEEISD,Arcane Dragon Turtle Hide Chest Of Vitality,Chest,Arcane Dragon Turtle Hide Chest Of Vitality$Insured$Weight: 8 Stones$Brittle$Kinetic Eater 15%$Casting Focus 2%$Intelligence Bonus 5$Hit Point Increase 7$Mana Increase 2$Hit Point Regeneration 1$Mana Regeneration 2$Lower Mana Cost 2%$Lower Reagent Cost 10%$Physical Resist 19%$Fire Resist 17%$Cold Resist 17%$Poison Resist 19%$Energy Resist 19%$Strength Requirement 30$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$* Requires The "Time Of Legends" Expansion$ 
JZGEISD,PKEEISD,Arcane Ringmail Gloves Of Vitality,Gloves,Arcane Ringmail Gloves Of Vitality$Insured$Weight: 2 Stones$Brittle$Kinetic Eater 15%$Casting Focus 2%$Intelligence Bonus 2$Hit Point Increase 7$Mana Increase 10$Hit Point Regeneration 2$Mana Regeneration 3$Lower Mana Cost 2%$Lower Reagent Cost 10%$Physical Resist 18%$Fire Resist 18%$Cold Resist 16%$Poison Resist 20%$Energy Resist 18%$Strength Requirement 40$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
KZGEISD,PKEEISD,Arcane Gargish Cloth Kilt Of Restoration,Kilt,Arcane Gargish Cloth Kilt Of Restoration$Insured$Weight: 2 Stones$Gargoyles Only$Brittle$Kinetic Eater 12%$Casting Focus 1%$Intelligence Bonus 4$Mana Increase 4$Hit Point Regeneration 4$Stamina Regeneration 1$Mana Regeneration 3$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 20%$Fire Resist 22%$Cold Resist 21%$Poison Resist 21%$Energy Resist 21%$Strength Requirement 20$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
ODHEISD,PKEEISD,Arcane Leather Tunic Of Vitality,Chest,Arcane Leather Tunic Of Vitality$Insured$Weight: 6 Stones$Brittle$Fire Eater 12%$Intelligence Bonus 2$Hit Point Increase 5$Hit Point Regeneration 3$Mana Regeneration 4$Lower Mana Cost 10%$Lower Reagent Cost 10%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 18%$Strength Requirement 25$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
TDHEISD,PKEEISD,Arcane Tiger Pelt Helm Of Restoration,Helm,Arcane Tiger Pelt Helm Of Restoration$Insured$Weight: 4 Stones$Brittle$Energy Eater 9%$Casting Focus 1%$Mana Increase 8$Hit Point Regeneration 4$Stamina Regeneration 1$Mana Regeneration 3$Lower Mana Cost 10%$Lower Reagent Cost 10%$Physical Resist 18%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 18%$Strength Requirement 25$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$* Requires The "Time Of Legends" Expansion$ 
UDHEISD,PKEEISD,Arcane Gargish Platemail Arms Of Restoration,Arms,Arcane Gargish Platemail Arms Of Restoration$Insured$Weight: 5 Stones$Gargoyles Only$Brittle$Energy Eater 12%$Casting Focus 2%$Mana Increase 8$Stamina Regeneration 3$Mana Regeneration 4$Lower Mana Cost 8%$Lower Reagent Cost 10%$Physical Resist 8%$Fire Resist 21%$Cold Resist 20%$Poison Resist 21%$Energy Resist 20%$Mage Armor$Strength Requirement 80$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
