CJQICSD,RQPICSD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Evaluate Intelligence +5$Prized$Hit Chance Increase 20%$Defense Chance Increase 20%$Spell Damage Increase 15%$Lower Mana Cost 8%$Swing Speed Increase 10%$Durability 255 / 255$Greater Artifact$ 
SMQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Healing +10$Mace Fighting +15$Prized$Enhance Potions 35%$Defense Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Durability 255 / 255$Greater Artifact$ 
VMQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Stealth +15$Prized$Enhance Potions 25%$Defense Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Swing Speed Increase 10%$Durability 255 / 255$Greater Artifact$ 
DGQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Wrestling +15$Prized$Hit Chance Increase 15%$Defense Chance Increase 15%$Lower Mana Cost 8%$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Greater Artifact$ 
PFQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Focus +10$Prized$Stamina Increase 4$Enhance Potions 25%$Hit Chance Increase 15%$Swing Speed Increase 10%$Damage Increase 35%$Durability 255 / 255$Greater Artifact$ 
OFQICSD,RQPICSD,Vicious Ring,Ring,Vicious Ring$Insured$Weight: 1 Stone$Prized$Hit Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Swing Speed Increase 5%$Damage Increase 35%$Durability 255 / 255$Greater Artifact$ 
SFQICSD,RQPICSD,Animated Bracelet,Bracelet,Animated Bracelet$Insured$Weight: 1 Stone$Parrying +5$Prized$Dexterity Bonus 10$Stamina Increase 5$Hit Chance Increase 15%$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Greater Artifact$ 
HFQICSD,RQPICSD,Arcane Bracelet Of Sorcery,Bracelet,Arcane Bracelet Of Sorcery$Insured$Weight: 1 Stone$Intelligence Bonus 8$Mana Increase 5$Mana Regeneration 3$Spell Damage Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Lower Mana Cost 10%$Durability 255 / 255$Major Artifact$ 
EFQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Swordsmanship +15$Prized$Night Sight$Hit Chance Increase 20%$Defense Chance Increase 15%$Lower Reagent Cost 20%$Swing Speed Increase 10%$Durability 255 / 255$Greater Artifact$ 
SEQICSD,RQPICSD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Prized$Stamina Increase 4$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 20%$Faster Casting 1$Damage Increase 25%$Durability 255 / 255$Greater Artifact$ 
NEQICSD,RQPICSD,Composite Bow,Two-Handed,Composite Bow$Insured$Weight: 5 Stones$Spell Channeling$Mage Weapon -20 Skill$Prized$Mana Increase 4$Mana Regeneration 6$Faster Casting -1$Chaos Damage 100%$Weapon Damage 16 - 20$Weapon Speed 4s$Range 10$Strength Requirement 45$Two-Handed Weapon$Skill Required: Archery$Durability 70 / 70$Lesser Artifact$ 
DEQICSD,RQPICSD,Spear,Two-Handed,Spear$Insured$Weight: 7 Stones$Spell Channeling$Mage Weapon -20 Skill$Prized$Stamina Regeneration 3$Mana Regeneration 6$Defense Chance Increase 15%$Faster Casting -1$Physical Damage 100%$Weapon Damage 13 - 16$Weapon Speed 2.75s$Strength Requirement 50$Two-Handed Weapon$Skill Required: Fencing$Durability 55 / 55$Major Magic Item$ 
