SIJTAUD,TAJTAUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Necromancy +15$Mace Fighting +15$Antique$Dexterity Bonus 10$Stamina Increase 4$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Casting 1$Fire Resist 15%$Durability 255 / 255$Legendary Artifact$ 
QIJTAUD,TAJTAUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Spirit Speak +20$Antique$Strength Bonus 8$Intelligence Bonus 8$Stamina Increase 4$Night Sight$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Cast Recovery 4$Durability 255 / 255$Legendary Artifact$ 
DIJTAUD,TAJTAUD,Studded Gorget,Gorget,Studded Gorget$Insured$Weight: 1 Stone$Brittle$Cold Eater 12%$Casting Focus 2%$Strength Bonus 4$Stamina Increase 8$Hit Point Regeneration 3$Defense Chance Increase 4%$Lower Mana Cost 8%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 3%$Energy Resist 4%$Mage Armor$Strength Requirement 25$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Major Artifact$ 
KIJTAUD,TAJTAUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Chivalry +15$Mysticism +15$Mace Fighting +15$Antique$Stamina Increase 4$Mana Increase 4$Night Sight$Luck 100$Enhance Potions 25%$Lower Mana Cost 10%$Lower Reagent Cost 25%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
HIJTAUD,TAJTAUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Magery +15$Antique$Strength Bonus 8$Intelligence Bonus 10$Enhance Potions 25%$Hit Chance Increase 20%$Lower Reagent Cost 20%$Damage Increase 25%$Durability 255 / 255$Major Artifact$ 
XHJTAUD,TAJTAUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Mysticism +20$Fencing +5$Antique$Strength Bonus 10$Intelligence Bonus 10$Stamina Increase 4$Mana Increase 5$Luck 100$Defense Chance Increase 20%$Faster Cast Recovery 3$Faster Casting 1$Lower Reagent Cost 25%$Swing Speed Increase 10%$Cold Resist 10%$Durability 255 / 255$Legendary Artifact$ 
YHJTAUD,TAJTAUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Stealth +15$Animal Taming +20$Antique$Strength Bonus 8$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 15%$Lower Mana Cost 8%$Damage Increase 25%$Durability 255 / 255$Major Artifact$ 
BIJTAUD,TAJTAUD,Leather Sleeves,Arms,Leather Sleeves$Insured$Weight: 2 Stones$Brittle$Strength Bonus 4$Hit Point Regeneration 3$Stamina Regeneration 3$Mana Regeneration 3$Luck 100$Reflect Physical Damage 15%$Hit Chance Increase 4%$Lower Mana Cost 8%$Physical Resist 2%$Fire Resist 19%$Cold Resist 18%$Poison Resist 3%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$ 
CIJTAUD,WTITAUD,Leather Gloves,Gloves,Leather Gloves$Insured$Weight: 1 Stone$Brittle$Casting Focus 2%$Dexterity Bonus 4$Hit Point Increase 7$Mana Increase 8$Hit Point Regeneration 3$Mana Regeneration 3$Reflect Physical Damage 15%$Enhance Potions 2%$Lower Reagent Cost 20%$Physical Resist 2%$Fire Resist 4%$Cold Resist 3%$Poison Resist 3%$Energy Resist 3%$Lower Requirements 70%$Strength Requirement 6$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Major Artifact$ 
ZHJTAUD,WTITAUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Chivalry +15$Antique$Dexterity Bonus 8$Night Sight$Luck 150$Enhance Potions 25%$Hit Chance Increase 15%$Spell Damage Increase 15%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
