TXLYEUD,DAMYEUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Necromancy +15$Antique$Dexterity Bonus 8$Stamina Increase 4$Hit Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Lower Mana Cost 8%$Damage Increase 25%$Durability 255 / 255$Major Artifact$ 
UXLYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Anatomy +15$Antique$Stamina Increase 5$Enhance Potions 25%$Defense Chance Increase 20%$Spell Damage Increase 15%$Faster Cast Recovery 3$Lower Mana Cost 10%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
HXLYEUD,DAMYEUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Provocation +15$Antique$Stamina Increase 4$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 15%$Faster Casting 1$Fire Resist 15%$Durability 255 / 255$Major Artifact$ 
LWLYEUD,DAMYEUD,Gargish Ring,Ring,Gargish Ring$Insured$Weight: 1 Stone$Anatomy +15$Gargoyles Only$Antique$Mana Regeneration 3$Luck 100$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 18%$Lower Mana Cost 8%$Durability 255 / 255$Major Artifact$ 
MWLYEUD,DAMYEUD,Gargish Bracelet,Bracelet,Gargish Bracelet$Insured$Weight: 1 Stone$Gargoyles Only$Antique$Strength Bonus 8$Intelligence Bonus 8$Stamina Increase 4$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Lower Reagent Cost 20%$Durability 255 / 255$Major Artifact$ 
BWLYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Mace Fighting +15$Antique$Stamina Increase 5$Luck 100$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Cast Recovery 3$Lower Reagent Cost 20%$Damage Increase 25%$Durability 255 / 255$Major Artifact$ 
ZVLYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Peacemaking +15$Provocation +10$Antique$Strength Bonus 8$Intelligence Bonus 8$Stamina Increase 4$Enhance Potions 35%$Hit Chance Increase 20%$Defense Chance Increase 15%$Faster Casting 1$Lower Mana Cost 8%$Damage Increase 35%$Durability 255 / 255$Legendary Artifact$ 
AWLYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Antique$Strength Bonus 8$Luck 100$Defense Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Lower Reagent Cost 25%$Physical Resist 15%$Durability 255 / 255$Major Artifact$ 
FWLYEUD,DAMYEUD,Gargish Stone Arms,Arms,Gargish Stone Arms$Insured$Weight: 10 Stones$Gargoyles Only$Brittle$Damage Eater 12%$Casting Focus 3%$Dexterity Bonus 4$Intelligence Bonus 5$Mana Increase 8$Reflect Physical Damage 15%$Defense Chance Increase 4%$Lower Reagent Cost 20%$Physical Resist 21%$Fire Resist 21%$Cold Resist 4%$Poison Resist 8%$Energy Resist 6%$Strength Requirement 40$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
GWLYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Healing +20$Focus +15$Magery +15$Antique$Stamina Increase 4$Hit Chance Increase 15%$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
DWLYEUD,DAMYEUD,Ringmail Sleeves,Arms,Ringmail Sleeves$Insured$Weight: 10 Stones$Brittle$Strength Bonus 4$Dexterity Bonus 4$Hit Point Increase 5$Stamina Increase 10$Hit Point Regeneration 3$Luck 100$Reflect Physical Damage 15%$Lower Reagent Cost 20%$Physical Resist 23%$Fire Resist 3%$Cold Resist 16%$Poison Resist 5%$Energy Resist 3%$Strength Requirement 40$Durability 255 / 255$Legendary Artifact$ 
EWLYEUD,DAMYEUD,Wizard's Hat,Helm,Wizard's Hat$Insured$Weight: 1 Stone$Brittle$Intelligence Bonus 5$Hit Point Increase 5$Mana Increase 8$Stamina Regeneration 3$Mana Regeneration 4$Luck 100$Defense Chance Increase 4%$Lower Reagent Cost 20%$Physical Resist 15%$Fire Resist 5%$Cold Resist 9%$Poison Resist 25%$Energy Resist 5%$Strength Requirement 10$Durability 255 / 255$Legendary Artifact$ 
RAMYEUD,DAMYEUD,Wooden Shield,Shield,Wooden Shield$Insured$Weight: 5 Stones$Brittle$Dexterity Bonus 5$Intelligence Bonus 5$Stamina Increase 4$Mana Regeneration 3$Defense Chance Increase 20%$Lower Mana Cost 5%$Swing Speed Increase 10%$Damage Increase 25%$Energy Resist 1%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$ 
PAMYEUD,DAMYEUD,Leather Gorget,Gorget,Leather Gorget$Insured$Weight: 1 Stone$Brittle$Strength Bonus 4$Hit Point Increase 5$Hit Point Regeneration 3$Stamina Regeneration 3$Mana Regeneration 3$Luck 100$Hit Chance Increase 5%$Lower Mana Cost 10%$Physical Resist 2%$Fire Resist 4%$Cold Resist 23%$Poison Resist 3%$Energy Resist 3%$Strength Requirement 20$Durability 255 / 255$Legendary Artifact$ 
QAMYEUD,DAMYEUD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Ninjitsu +15$Evaluate Intelligence +15$Meditation +15$Antique$Luck 100$Enhance Potions 25%$Spell Damage Increase 15%$Faster Cast Recovery 3$Lower Mana Cost 8%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
VAMYEUD,DAMYEUD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Ninjitsu +15$Focus +15$Antique$Strength Bonus 10$Dexterity Bonus 8$Luck 100$Enhance Potions 25%$Defense Chance Increase 15%$Spell Damage Increase 15%$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
