NHTTXRD,ACRTXRD,Skullcap,Helm,Skullcap$Insured$Weight: 1 Stone$Brittle$Casting Focus 2%$Strength Bonus 4$Dexterity Bonus 4$Intelligence Bonus 5$Stamina Increase 8$Mana Increase 8$Hit Point Regeneration 1$Stamina Regeneration 3$Mana Regeneration 1$Luck 120$Enhance Potions 2%$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 20%$Fire Resist 23%$Cold Resist 25%$Poison Resist 23%$Energy Resist 23%$Strength Requirement 10$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
RHTTXRD,ACRTXRD,Bladed Staff,Two-Handed,Bladed Staff$Insured$Weight: 4 Stones$Brittle$Splintering Weapon 20%$Hit Dispel 70%$Hit Stamina Leech 50%$Hit Mana Leech 75%$Hit Life Leech 75%$Hit Point Regeneration 6$Hit Chance Increase 15%$Physical Damage 100%$Weapon Damage 14 - 17$Weapon Speed 3s$Strength Requirement 40$Two-Handed Weapon$Skill Required: Swordsmanship$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Major Artifact$ 
FHTTXRD,ACRTXRD,Leather Gorget,Gorget,Leather Gorget$Insured$Weight: 1 Stone$Brittle$Energy Eater 12%$Casting Focus 2%$Dexterity Bonus 4$Hit Point Increase 5$Stamina Increase 8$Mana Increase 10$Stamina Regeneration 1$Hit Chance Increase 1%$Defense Chance Increase 3%$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 22%$Fire Resist 24%$Cold Resist 18%$Poison Resist 23%$Energy Resist 18%$Strength Requirement 20$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
YGTTXRD,FCRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Animal Lore +15$Antique$Dexterity Bonus 10$Mana Regeneration 3$Luck 100$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Spell Damage Increase 15%$Durability 255 / 255$Major Artifact$ 
EHTTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Throwing +15$Stealth +15$Fencing +15$Antique$Night Sight$Hit Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Lower Mana Cost 8%$Durability 255 / 255$Major Artifact$ 
WGTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Antique$Strength Bonus 8$Intelligence Bonus 8$Stamina Increase 4$Night Sight$Enhance Potions 35%$Hit Chance Increase 20%$Defense Chance Increase 15%$Faster Casting 1$Lower Mana Cost 8%$Lower Reagent Cost 20%$Durability 255 / 255$Legendary Artifact$ 
JGTTXRD,ACRTXRD,Hide Tunic,Chest,Hide Tunic$Insured$Weight: 6 Stones$Elves Only$Brittle$Strength Bonus 4$Dexterity Bonus 4$Intelligence Bonus 4$Stamina Increase 10$Mana Increase 10$Hit Point Regeneration 3$Luck 100$Reflect Physical Damage 15%$Enhance Potions 2%$Physical Resist 3%$Fire Resist 3%$Cold Resist 4%$Poison Resist 3%$Energy Resist 2%$Mage Armor$Strength Requirement 25$Durability 255 / 255$Major Artifact$ 
HGTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Throwing +20$Magery +15$Antique$Stamina Increase 4$Enhance Potions 35%$Spell Damage Increase 15%$Faster Casting 1$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
NGTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Antique$Strength Bonus 10$Stamina Increase 5$Night Sight$Luck 100$Enhance Potions 35%$Hit Chance Increase 15%$Faster Casting 1$Swing Speed Increase 10%$Cold Resist 15%$Durability 255 / 255$Legendary Artifact$ 
OGTTXRD,ACRTXRD,Hide Gloves,Gloves,Hide Gloves$Insured$Weight: 2 Stones$Elves Only$Brittle$Strength Bonus 4$Dexterity Bonus 5$Intelligence Bonus 4$Hit Point Increase 5$Stamina Increase 8$Hit Point Regeneration 4$Luck 100$Lower Reagent Cost 20%$Physical Resist 18%$Fire Resist 3%$Cold Resist 4%$Poison Resist 3%$Energy Resist 2%$Lower Requirements 100%$Durability 255 / 255$Legendary Artifact$ 
DGTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Anatomy +20$Provocation +15$Musicianship +20$Antique$Stamina Increase 4$Mana Regeneration 3$Spell Damage Increase 15%$Faster Cast Recovery 3$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
EGTTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Fencing +15$Antique$Strength Bonus 8$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Lower Mana Cost 8%$Durability 255 / 255$Major Artifact$ 
SFTTXRD,ACRTXRD,Wide-Brim Hat,Helm,Wide-Brim Hat$Insured$Weight: 1 Stone$Brittle$Poison Eater 6%$Strength Bonus 4$Hit Point Increase 5$Stamina Increase 8$Mana Increase 8$Stamina Regeneration 1$Mana Regeneration 1$Hit Chance Increase 4%$Defense Chance Increase 4%$Lower Reagent Cost 20%$Physical Resist 15%$Fire Resist 25%$Cold Resist 29%$Poison Resist 25%$Energy Resist 20%$Strength Requirement 10$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
YFTTXRD,ACRTXRD,Woodland Arms,Arms,Woodland Arms$Insured$Weight: 5 Stones$Elves Only$Brittle$Casting Focus 3%$Dexterity Bonus 4$Intelligence Bonus 4$Hit Point Increase 7$Stamina Increase 8$Hit Point Regeneration 3$Reflect Physical Damage 15%$Defense Chance Increase 4%$Physical Resist 5%$Fire Resist 3%$Cold Resist 22%$Poison Resist 18%$Energy Resist 2%$Strength Requirement 80$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
WFTTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Antique$Strength Bonus 8$Dexterity Bonus 8$Night Sight$Luck 150$Enhance Potions 25%$Hit Chance Increase 15%$Faster Casting 1$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
MKTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Chivalry +15$Antique$Dexterity Bonus 8$Luck 100$Enhance Potions 25%$Hit Chance Increase 15%$Lower Mana Cost 10%$Swing Speed Increase 10%$Damage Increase 25%$Durability 255 / 255$Major Artifact$ 
FKTTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Animal Lore +15$Tactics +15$Antique$Dexterity Bonus 8$Stamina Increase 4$Hit Chance Increase 20%$Faster Cast Recovery 3$Faster Casting 1$Durability 255 / 255$Legendary Artifact$ 
GKTTXRD,ACRTXRD,Studded Gloves,Gloves,Studded Gloves$Insured$Weight: 1 Stone$Brittle$Kinetic Eater 15%$Strength Bonus 4$Dexterity Bonus 4$Intelligence Bonus 4$Stamina Increase 8$Mana Increase 8$Luck 100$Reflect Physical Damage 5%$Enhance Potions 1%$Hit Chance Increase 2%$Lower Mana Cost 10%$Lower Reagent Cost 20%$Physical Resist 22%$Fire Resist 19%$Cold Resist 23%$Poison Resist 23%$Energy Resist 19%$Strength Requirement 25$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
RJTTXRD,ACRTXRD,Wizard's Hat,Helm,Wizard's Hat$Insured$Weight: 1 Stone$Brittle$Intelligence Bonus 4$Hit Point Increase 5$Mana Increase 8$Hit Point Regeneration 3$Stamina Regeneration 1$Mana Regeneration 4$Reflect Physical Damage 15%$Enhance Potions 2%$Hit Chance Increase 4%$Defense Chance Increase 4%$Lower Reagent Cost 25%$Physical Resist 15%$Fire Resist 20%$Cold Resist 24%$Poison Resist 20%$Energy Resist 25%$Strength Requirement 10$Durability 255 / 255$Legendary Artifact$ 
KETTXRD,ACRTXRD,Hide Gorget,Gorget,Hide Gorget$Insured$Weight: 3 Stones$Elves Only$Brittle$Kinetic Eater 12%$Strength Bonus 4$Intelligence Bonus 4$Hit Point Regeneration 3$Stamina Regeneration 3$Mana Regeneration 3$Enhance Potions 2%$Hit Chance Increase 4%$Defense Chance Increase 5%$Lower Mana Cost 8%$Physical Resist 3%$Fire Resist 3%$Cold Resist 4%$Poison Resist 3%$Energy Resist 2%$Mage Armor$Strength Requirement 15$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Major Artifact$ 
HETTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Antique$Night Sight$Enhance Potions 25%$Hit Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Lower Mana Cost 8%$Swing Speed Increase 10%$Durability 255 / 255$Major Artifact$ 
NDTTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Bushido +5$Magery +15$Antique$Mana Regeneration 3$Luck 100$Enhance Potions 35%$Hit Chance Increase 20%$Faster Cast Recovery 3$Swing Speed Increase 10%$Durability 255 / 255$Legendary Artifact$ 
GDTTXRD,ACRTXRD,Leaf Arms,Arms,Leaf Arms$Insured$Weight: 2 Stones$Elves Only$Brittle$Fire Eater 15%$Casting Focus 2%$Strength Bonus 4$Stamina Increase 8$Mana Increase 6$Hit Point Regeneration 1$Luck 50$Reflect Physical Damage 5%$Hit Chance Increase 2%$Lower Mana Cost 10%$Physical Resist 22%$Fire Resist 23%$Cold Resist 22%$Poison Resist 19%$Energy Resist 19%$Strength Requirement 15$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
QXSTXRD,ACRTXRD,Leather Shorts,Legs,Leather Shorts$Insured$Weight: 3 Stones$Brittle$Damage Eater 12%$Strength Bonus 4$Intelligence Bonus 4$Stamina Increase 8$Stamina Regeneration 1$Mana Regeneration 4$Luck 60$Enhance Potions 1%$Hit Chance Increase 1%$Defense Chance Increase 1%$Lower Mana Cost 8%$Physical Resist 22%$Fire Resist 24%$Cold Resist 23%$Poison Resist 23%$Energy Resist 23%$Strength Requirement 20$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
OXSTXRD,ACRTXRD,Hide Pauldrons,Arms,Hide Pauldrons$Insured$Weight: 4 Stones$Elves Only$Brittle$Intelligence Bonus 4$Hit Point Increase 7$Stamina Increase 8$Hit Point Regeneration 3$Mana Regeneration 3$Luck 100$Defense Chance Increase 4%$Physical Resist 18%$Fire Resist 3%$Cold Resist 4%$Poison Resist 3%$Energy Resist 2%$Lower Requirements 70%$Mage Armor$Strength Requirement 6$Durability 255 / 255$Major Artifact$ 
DXSTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Mace Fighting +15$Antique$Stamina Increase 4$Mana Regeneration 4$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 20%$Spell Damage Increase 15%$Faster Cast Recovery 3$Durability 255 / 255$Legendary Artifact$ 
YWSTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Antique$Strength Bonus 8$Dexterity Bonus 8$Mana Increase 4$Mana Regeneration 3$Enhance Potions 25%$Hit Chance Increase 15%$Faster Cast Recovery 3$Faster Casting 1$Durability 255 / 255$Legendary Artifact$ 
NWSTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Chivalry +15$Evaluate Intelligence +15$Animal Taming +15$Antique$Enhance Potions 25%$Defense Chance Increase 15%$Spell Damage Increase 15%$Faster Cast Recovery 3$Swing Speed Increase 10%$Durability 255 / 255$Major Artifact$ 
LWSTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Antique$Stamina Increase 5$Luck 100$Enhance Potions 35%$Defense Chance Increase 20%$Lower Mana Cost 8%$Lower Reagent Cost 20%$Swing Speed Increase 10%$Energy Resist 15%$Durability 255 / 255$Legendary Artifact$ 
SWSTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Discordance +15$Swordsmanship +15$Antique$Strength Bonus 8$Mana Increase 4$Enhance Potions 25%$Hit Chance Increase 15%$Damage Increase 25%$Physical Resist 15%$Durability 255 / 255$Major Artifact$ 
HWSTXRD,ACRTXRD,Hide Pants,Legs,Hide Pants$Insured$Weight: 5 Stones$Elves Only$Brittle$Fire Eater 12%$Casting Focus 2%$Stamina Increase 8$Mana Increase 8$Mana Regeneration 3$Luck 150$Reflect Physical Damage 20%$Enhance Potions 3%$Physical Resist 3%$Fire Resist 3%$Cold Resist 24%$Poison Resist 18%$Energy Resist 22%$Strength Requirement 25$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
XVSTXRD,ACRTXRD,Studded Leggings,Legs,Studded Leggings$Insured$Weight: 5 Stones$Brittle$Cold Eater 12%$Casting Focus 2%$Strength Bonus 5$Intelligence Bonus 4$Luck 150$Enhance Potions 2%$Hit Chance Increase 4%$Defense Chance Increase 4%$Lower Reagent Cost 25%$Physical Resist 17%$Fire Resist 4%$Cold Resist 18%$Poison Resist 3%$Energy Resist 4%$Mage Armor$Strength Requirement 30$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
VVSTXRD,ACRTXRD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Antique$Strength Bonus 10$Enhance Potions 25%$Spell Damage Increase 15%$Faster Cast Recovery 4$Lower Reagent Cost 20%$Swing Speed Increase 10%$Damage Increase 25%$Physical Resist 15%$Durability 255 / 255$Legendary Artifact$ 
WVSTXRD,ACRTXRD,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Ninjitsu +15$Magery +15$Antique$Intelligence Bonus 8$Mana Regeneration 3$Enhance Potions 25%$Hit Chance Increase 20%$Spell Damage Increase 15%$Faster Cast Recovery 3$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
