TNXIDUD,HOXSEPD,Arcane Ringmail Leggings Of Vitality,Legs,Arcane Ringmail Leggings Of Vitality$Insured$Weight: 15 Stones$Brittle$Fire Eater 12%$Hit Point Increase 5$Mana Increase 2$Hit Point Regeneration 4$Mana Regeneration 4$Lower Mana Cost 8%$Lower Reagent Cost 20%$Physical Resist 18%$Fire Resist 18%$Cold Resist 16%$Poison Resist 20%$Energy Resist 18%$Mage Armor$Strength Requirement 40$Durability 9 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
XNXIDUD,HOXSEPD,Arcane Chainmail Tunic Of Vitality,Chest,Arcane Chainmail Tunic Of Vitality$Insured$Weight: 7 Stones$Brittle$Damage Eater 12%$Strength Bonus 4$Intelligence Bonus 3$Hit Point Increase 5$Mana Regeneration 3$Lower Mana Cost 8%$Lower Reagent Cost 25%$Physical Resist 19%$Fire Resist 19%$Cold Resist 19%$Poison Resist 16%$Energy Resist 17%$Mage Armor$Strength Requirement 60$Durability 213 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
ZBRUAUD,ENLUUND,Vicious Ring Of Haste,Ring,Vicious Ring Of Haste$Insured$Weight: 1 Stone$Prized$Stamina Increase 4$Hit Chance Increase 20%$Swing Speed Increase 10%$Damage Increase 30%$Durability 255 / 255$Lesser Artifact$ 
FCRUAUD,ENLUUND,Bracelet,Bracelet,Bracelet$Insured$Weight: 1 Stone$Evaluate Intelligence +15$Prized$Luck 150$Enhance Potions 25%$Spell Damage Increase 15%$Faster Cast Recovery 3$Lower Mana Cost 8%$Durability 255 / 255$Greater Artifact$ 
TARUAUD,GQTJTND,Platemail Gorget,Gorget,Platemail Gorget$Weight: 2 Stones$Brittle$Strength Bonus 5$Intelligence Bonus 4$Stamina Increase 8$Mana Regeneration 3$Luck 150$Defense Chance Increase 5%$Lower Mana Cost 8%$Physical Resist 5%$Fire Resist 18%$Cold Resist 22%$Poison Resist 23%$Energy Resist 2%$Strength Requirement 45$Durability 255 / 255$Legendary Artifact$ 
XSQUAUD,GQTJTND,Platemail Gorget,Gorget,Platemail Gorget$Weight: 2 Stones$Brittle$Strength Bonus 4$Intelligence Bonus 4$Hit Point Increase 5$Mana Increase 8$Mana Regeneration 3$Luck 150$Defense Chance Increase 5%$Physical Resist 5%$Fire Resist 18%$Cold Resist 2%$Poison Resist 18%$Energy Resist 2%$Mage Armor$Strength Requirement 45$Durability 255 / 255$Legendary Artifact$ 
WIQUAUD,GQTJTND,Ringmail Sleeves,Arms,Ringmail Sleeves$Weight: 15 Stones$Brittle$Strength Bonus 4$Intelligence Bonus 4$Mana Increase 8$Mana Regeneration 3$Luck 150$Enhance Potions 2%$Hit Chance Increase 4%$Lower Reagent Cost 20%$Physical Resist 3%$Fire Resist 3%$Cold Resist 16%$Poison Resist 5%$Energy Resist 3%$Lower Requirements 70%$Strength Requirement 12$Durability 255 / 255$Legendary Artifact$ 
WAJGUTD,HOXSEPD,Orc Mask,Helm,Orc Mask$Insured$Weight: 4 Stones$Brittle$Kinetic Eater 12%$Casting Focus 2%$Strength Bonus 5$Dexterity Bonus 5$Intelligence Bonus 5$Hit Point Increase 5$Mana Regeneration 3$Luck 100$Hit Chance Increase 4%$Lower Reagent Cost 20%$Physical Resist 1%$Fire Resist 1%$Cold Resist 7%$Poison Resist 7%$Energy Resist 8%$Strength Requirement 10$Durability 255 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
TIUWNTD,HOXSEPD,Arcane Studded Leggings Of Restoration,Legs,Arcane Studded Leggings Of Restoration$Insured$Weight: 5 Stones$Brittle$Kinetic Eater 12%$Casting Focus 2%$Intelligence Bonus 2$Mana Increase 8$Hit Point Regeneration 4$Mana Regeneration 3$Lower Mana Cost 10%$Physical Resist 17%$Fire Resist 4%$Cold Resist 18%$Poison Resist 18%$Energy Resist 19%$Mage Armor$Strength Requirement 30$Durability 240 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
JIUWNTD,HOXSEPD,Arcane Studded Tunic Of Restoration,Chest,Arcane Studded Tunic Of Restoration$Insured$Weight: 8 Stones$Brittle$Damage Eater 15%$Intelligence Bonus 4$Mana Increase 8$Hit Point Regeneration 3$Stamina Regeneration 4$Mana Regeneration 1$Lower Mana Cost 10%$Lower Reagent Cost 5%$Physical Resist 17%$Fire Resist 19%$Cold Resist 18%$Poison Resist 18%$Energy Resist 19%$Mage Armor$Strength Requirement 35$Durability 245 / 255$* Requires The "Stygian Abyss" Expansion$Legendary Artifact$ 
JLUWNTD,HOXSEPD,Mystic Orc Helm Of Haste,Helm,Mystic Orc Helm Of Haste$Insured$Weight: 5 Stones$Brittle$Dexterity Bonus 4$Intelligence Bonus 2$Stamina Increase 10$Mana Increase 2$Stamina Regeneration 2$Mana Regeneration 3$Lower Mana Cost 10%$Physical Resist 18%$Fire Resist 16%$Cold Resist 18%$Poison Resist 18%$Energy Resist 20%$Strength Requirement 30$Durability 208 / 255$Legendary Artifact$ 
