IVBLYTD,OAHROTD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Swordsmanship +15$Antique$Dexterity Bonus 8$Night Sight$Luck 100$Enhance Potions 25%$Hit Chance Increase 15%$Defense Chance Increase 15%$Faster Cast Recovery 4$Lower Mana Cost 8%$Durability 255 / 255$Legendary Artifact$ 
BYVJPTD,ICVJPTD,Vicious War Cleaver,Two-Handed,"Vicious War Cleaver$Insured$Weight: 10 Stones$Splintering Weapon 25%$Battle Lust$Prized$Hit Point Regeneration 3$Hit Chance Increase 20%$Lower Mana Cost 4%$Physical Damage 100%$Weapon Damage 10 - 13$Weapon Speed 2.25s$Strength Requirement 15$Two-Handed Weapon$Skill Required: Fencing$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
CYVJPTD,ICVJPTD,Vampiric Leafblade Of Slaughter,One-Handed,"Vampiric Leafblade Of Slaughter$Insured$Weight: 8 Stones$Splintering Weapon 20%$Hit Lightning 50%$Hit Mana Leech 55%$Hit Fatigue 50%$Hit Mana Drain 50%$Prized$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Fencing$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
ZXVJPTD,ICVJPTD,Dagger,One-Handed,"Dagger$Insured$Weight: 1 Stone$Splintering Weapon 25%$Hit Lower Defense 20%$Blood Elemental Slayer$Prized$Enhance Potions 5%$Swing Speed Increase 10%$Physical Damage 100%$Weapon Damage 10 - 12$Weapon Speed 2s$Strength Requirement 10$One-Handed Weapon$Skill Required: Fencing$Durability 35 / 35$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
PXVJPTD,ICVJPTD,Mace,One-Handed,"Mace$Insured$Weight: 14 Stones$Splintering Weapon 20%$Hit Lightning 50%$Hit Fatigue 50%$Hit Lower Attack 50%$Enhance Potions 5%$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 45$One-Handed Weapon$Skill Required: Mace Fighting$Durability 50 / 50$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
QXVJPTD,ICVJPTD,Scimitar,One-Handed,"Scimitar$Insured$Weight: 5 Stones$Splintering Weapon 25%$Hit Stamina Leech 50%$Prized$Strength Bonus 4$Faster Casting 1$Lower Requirements 70%$Physical Damage 100%$Weapon Damage 12 - 16$Weapon Speed 3s$Strength Requirement 7$One-Handed Weapon$Skill Required: Swordsmanship$Durability 33 / 33$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
NXVJPTD,ICVJPTD,Vicious Wild Staff Of Haste,One-Handed,"Vicious Wild Staff Of Haste$Insured$Weight: 8 Stones$Splintering Weapon 20%$Hit Fireball 50%$Battle Lust$Prized$Dexterity Bonus 4$Swing Speed Increase 30%$Physical Damage 100%$Weapon Damage 10 - 13$Weapon Speed 2.25s$Strength Requirement 15$One-Handed Weapon$Skill Required: Mace Fighting$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
OXVJPTD,ICVJPTD,Broadsword,One-Handed,"Broadsword$Insured$Weight: 6 Stones$Splintering Weapon 20%$Hit Lightning 50%$Battle Lust$Prized$Stamina Regeneration 6$Use Best Weapon Skill$Physical Damage 100%$Weapon Damage 13 - 17$Weapon Speed 3.25s$Strength Requirement 30$One-Handed Weapon$Skill Required: Swordsmanship$Durability 99 / 99$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
TXVJPTD,ICVJPTD,Leafblade,One-Handed,"Leafblade$Insured$Weight: 8 Stones$Splintering Weapon 20%$Hit Lightning 50%$Hit Mana Leech 68%$Prized$Enhance Potions 10%$Lower Mana Cost 4%$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Fencing$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
RXVJPTD,ICVJPTD,Double Axe,Two-Handed,"Double Axe$Insured$Weight: 8 Stones$Splintering Weapon 30%$Hit Fireball 20%$Hit Life Leech 32%$Hit Lower Attack 40%$Prized$Hit Point Regeneration 3$Physical Damage 100%$Weapon Damage 15 - 18$Weapon Speed 3.25s$Strength Requirement 45$Two-Handed Weapon$Skill Required: Swordsmanship$Durability 56 / 56$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
SXVJPTD,ICVJPTD,Animated Elven Machete Of Slaughter,One-Handed,"Animated Elven Machete Of Slaughter$Insured$Weight: 6 Stones$Splintering Weapon 20%$Hit Fireball 50%$Hit Stamina Leech 50%$Prized$Stamina Increase 4$Stamina Regeneration 3$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Swordsmanship$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
IXVJPTD,ICVJPTD,Pike,Two-Handed,"Pike$Insured$Weight: 8 Stones$Antique$Splintering Weapon 25%$Hit Life Leech 75%$Hit Point Regeneration 3$Defense Chance Increase 15%$Lower Requirements 100%$Use Best Weapon Skill$Physical Damage 100%$Weapon Damage 14 - 17$Weapon Speed 3s$Two-Handed Weapon$Skill Required: Fencing$Durability 255 / 255$* Requires The ""Stygian Abyss"" Expansion$Greater Artifact$ "
FXVJPTD,ICVJPTD,Invigorating Smith's Hammer Of Slaughter,One-Handed,"Invigorating Smith's Hammer Of Slaughter$Insured$Uses Remaining: 25$Weight: 8 Stones$Splintering Weapon 25%$Hit Cold Area 50%$Prized$Hit Point Regeneration 6$Stamina Regeneration 6$Mana Regeneration 3$Physical Damage 100%$Weapon Damage 13 - 17$Weapon Speed 3.25s$Strength Requirement 40$One-Handed Weapon$Skill Required: Mace Fighting$Durability 42 / 42$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
GXVJPTD,ICVJPTD,War Fork,One-Handed,"War Fork$Insured$Weight: 9 Stones$Splintering Weapon 30%$Mage Weapon -25 Skill$Mana Increase 1$Defense Chance Increase 5%$Lower Mana Cost 4%$Physical Damage 100%$Weapon Damage 10 - 14$Weapon Speed 2.5s$Strength Requirement 125$One-Handed Weapon$Skill Required: Fencing$Durability 92 / 92$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
JXVJPTD,ICVJPTD,Lance,One-Handed,"Lance$Insured$Weight: 12 Stones$Splintering Weapon 20%$Hit Lightning 50%$Hit Fire Area 50%$Hit Mana Drain 50%$Prized$Stamina Regeneration 3$Physical Damage 100%$Weapon Damage 18 - 22$Weapon Speed 4.25s$Strength Requirement 95$One-Handed Weapon$Skill Required: Fencing$Durability 57 / 57$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
BSVJPTD,ICVJPTD,Radiant Scimitar,One-Handed,"Radiant Scimitar$Insured$Weight: 9 Stones$Splintering Weapon 25%$Hit Stamina Leech 50%$Battle Lust$Prized$Luck 80$Lower Mana Cost 5%$Physical Damage 100%$Weapon Damage 10 - 14$Weapon Speed 2.5s$Strength Requirement 20$One-Handed Weapon$Skill Required: Swordsmanship$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
CSVJPTD,ICVJPTD,Vicious Elven Machete,One-Handed,"Vicious Elven Machete$Insured$Weight: 6 Stones$Splintering Weapon 20%$Hit Lightning 50%$Dexterity Bonus 4$Enhance Potions 5%$Damage Increase 70%$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Swordsmanship$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
ASVJPTD,ICVJPTD,Vicious Elven Machete Of The Vampire,One-Handed,"Vicious Elven Machete Of The Vampire$Insured$Weight: 6 Stones$Splintering Weapon 20%$Hit Lightning 50%$Hit Cold Area 50%$Hit Life Leech 68%$Hit Fatigue 50%$Prized$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Swordsmanship$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
FSVJPTD,ICVJPTD,Assassin Spike,One-Handed,"Assassin Spike$Insured$Weight: 4 Stones$Splintering Weapon 20%$Hit Fireball 50%$Mana Regeneration 3$Defense Chance Increase 15%$Physical Resist 15%$Physical Damage 100%$Weapon Damage 10 - 12$Weapon Speed 2s$Strength Requirement 15$One-Handed Weapon$Skill Required: Fencing$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
GSVJPTD,DLVJPTD,Ring,Ring,Ring$Insured$Weight: 1 Stone$Chivalry +15$Animal Lore +15$Animal Taming +15$Antique$Mana Increase 4$Enhance Potions 25%$Defense Chance Increase 20%$Faster Casting 1$Damage Increase 25%$Durability 255 / 255$Legendary Artifact$ 
TRVJPTD,ICVJPTD,Dagger,One-Handed,"Dagger$Insured$Weight: 1 Stone$Splintering Weapon 20%$Hit Fireball 50%$Mana Increase 4$Luck 100$Defense Chance Increase 15%$Physical Damage 100%$Weapon Damage 10 - 12$Weapon Speed 2s$Strength Requirement 125$One-Handed Weapon$Skill Required: Fencing$Durability 31 / 31$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
URVJPTD,ICVJPTD,Diamond Mace,One-Handed,"Diamond Mace$Insured$Weight: 10 Stones$Splintering Weapon 20%$Hit Fireball 50%$Hit Fatigue 50%$Stamina Increase 4$Swing Speed Increase 30%$Physical Damage 100%$Weapon Damage 13 - 17$Weapon Speed 3.25s$Strength Requirement 125$One-Handed Weapon$Skill Required: Mace Fighting$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Major Magic Item$ "
RRVJPTD,ICVJPTD,Vampiric Elven Machete Of Slaughter,One-Handed,"Vampiric Elven Machete Of Slaughter$Insured$Weight: 6 Stones$Splintering Weapon 25%$Hit Stamina Leech 50%$Hit Mana Leech 68%$Hit Mana Drain 50%$Prized$Hit Chance Increase 15%$Physical Damage 100%$Weapon Damage 11 - 15$Weapon Speed 2.75s$Strength Requirement 20$One-Handed Weapon$Skill Required: Swordsmanship$Durability 60 / 60$* Requires The ""Stygian Abyss"" Expansion$Lesser Artifact$ "
